especieId,version,reino,division,clase,orden,familia,genero,nombre-cientifico,nombre-comun,origen,estado-conservacion
1828,1,Plantae,Magnoliophyta,Liliopsida,Orchidales,Orchidaceae,Aa,Aa nervosa,,Nativa,Vulnerable (VU)
1071,1,Plantae,Magnoliophyta,Magnoliopsida,Rosales,Rosaceae,Acaena,Acaena masafuerana,,Nativa,En peligro crítico (CR)
8249,1,Animalia,Arthropoda,Insecta,Coleoptera,Cerambycidae,Acalodegma,Acalodegma vidali,,Nativa,En Peligro (EN)
2810,1,Plantae,Magnoliophyta,Magnoliopsida,Fabales,Fabaceae,Adesmia,Adesmia argyrophylla,Varilla,Nativa,Vulnerable (VU)
341,1,Plantae,Magnoliophyta,Magnoliopsida,Fabales,Fabaceae,Adesmia,Adesmia balsamica,Paramela de Puangue,Nativa,Vulnerable (VU)
2807,1,Plantae,Magnoliophyta,Magnoliopsida,Fabales,Fabaceae,Adesmia,Adesmia bijuga,,Nativa,En peligro crítico (CR)
964,1,Plantae,Magnoliophyta,Magnoliopsida,Fabales,Fabaceae,Adesmia,Adesmia godoyae,varillas,Nativa,Vulnerable (VU)
2811,1,Plantae,Magnoliophyta,Magnoliopsida,Fabales,Fabaceae,Adesmia,Adesmia micrantha,,Nativa,Vulnerable (VU)
2812,1,Plantae,Magnoliophyta,Magnoliopsida,Fabales,Fabaceae,Adesmia,Adesmia odontophylla,,Nativa,Extinta (EX)
343,1,Plantae,Magnoliophyta,Magnoliopsida,Fabales,Fabaceae,Adesmia,Adesmia resinosa,Paramela de Til-Til,Nativa,En Peligro (EN)
345,1,Plantae,Pteridophyta,Filicopsida,Filicales,Adiantaceae,Adiantum,Adiantum gertrudis,Palito negro,Nativa,Vulnerable (VU)
346,1,Plantae,Pteridophyta,Filicopsida,Filicales,Adiantaceae,Adiantum,Adiantum pearcei,Palito negro,Nativa,En peligro crítico (CR)
2846,1,Animalia,Arthropoda,Malacostraca/Crustacea,Decapoda,Aeglidae,Aegla,Aegla affinis,Pancora,Nativa,En peligro crítico (CR)
625,1,Animalia,Arthropoda,Malacostraca/Crustacea,Decapoda,Aeglidae,Aegla,Aegla bahamondei,Pancora,Nativa,En Peligro (EN)
2848,1,Animalia,Arthropoda,Malacostraca/Crustacea,Decapoda,Aeglidae,Aegla,Aegla cholchol,Pancora,Nativa,Vulnerable (VU)
626,1,Animalia,Arthropoda,Malacostraca/Crustacea,Decapoda,Aeglidae,Aegla,Aegla concepcionensis,Pancora,Nativa,En Peligro (EN)
627,1,Animalia,Arthropoda,Malacostraca/Crustacea,Decapoda,Aeglidae,Aegla,Aegla denticulata,Pancora,Nativa,"En peligro crítico (CR), Preocupación menor (LC)"
629,1,Animalia,Arthropoda,Malacostraca/Crustacea,Decapoda,Aeglidae,Aegla,Aegla expansa,Pancora,Nativa,En Peligro (EN)
630,1,Animalia,Arthropoda,Malacostraca/Crustacea,Decapoda,Aeglidae,Aegla,Aegla laevis,Pancora,Nativa,En Peligro (EN)
632,1,Animalia,Arthropoda,Malacostraca/Crustacea,Decapoda,Aeglidae,Aegla,Aegla manni,Pancora,Nativa,Vulnerable (VU)
2847,1,Animalia,Arthropoda,Malacostraca/Crustacea,Decapoda,Aeglidae,Aegla,Aegla occidentalis,Pancora,Nativa,En Peligro (EN)
635,1,Animalia,Arthropoda,Malacostraca/Crustacea,Decapoda,Aeglidae,Aegla,Aegla papudo,Pancora,Nativa,En Peligro (EN)
