especieId,version,reino,division,clase,orden,familia,genero,nombre-cientifico,nombre-comun,origen,estado-conservacion
8160,1,Animalia,Chordata,Mammalia,Cetacea,Neobalaenidae,Caperea,Caperea marginata,Ballena Franca Pigmea,Nativa,"Datos Insuficientes (DD), En Peligro (EN)"
2833,1,Animalia,Chordata,Mammalia,Xenarthra,Dasypodidae,Chaetophractus,Chaetophractus nationi,Quirquincho peludo de la Puna,Nativa,Vulnerable (VU)
8254,1,Animalia,Chordata,Mammalia,Chiroptera,Furipteridae,Amorphochilus,Amorphochilus schnablii,Murciélago de Schnabel,Nativa,Vulnerable (VU)
155,1,Animalia,Chordata,Mammalia,Carnivora,Otariidae,Arctocephalus,Arctocephalus philippii,Juan Fernandez fur seal,Nativa,Vulnerable (VU)
740,1,Animalia,Chordata,Mammalia,Carnivora,Canidae,Lycalopex,Lycalopex culpaeus,Zorro culpeo,Nativa,"Preocupación menor (LC), Vulnerable (VU)"
16,1,Animalia,Chordata,Mammalia,Carnivora,Canidae,Lycalopex,Lycalopex fulvipes,Zorro de Chiloé,Nativa,En Peligro (EN)
760,1,Animalia,Chordata,Mammalia,Rodentia,Ctenomydae,Ctenomys,Ctenomys fulvus,Tuco-tuco de Atacama,Nativa,Vulnerable (VU)
759,1,Animalia,Chordata,Mammalia,Rodentia,Ctenomydae,Ctenomys,Ctenomys magellanicus,Tuco-tuco de Magallanes,Nativa,"Extinta (EX), Vulnerable (VU)"
770,1,Animalia,Chordata,Mammalia,Rodentia,Octodontidae,Octodon,Octodon lunatus,Degú costino,Nativa,Vulnerable (VU)
771,1,Animalia,Chordata,Mammalia,Rodentia,Octodontidae,Octodontomys,Octodontomys gliroides,Soco,Nativa,Vulnerable (VU)
7,1,Animalia,Chordata,Mammalia,Artiodactyla,Cervidae,Hippocamelus,Hippocamelus antisensis,Taruca,Nativa,En Peligro (EN)
8,1,Animalia,Chordata,Mammalia,Artiodactyla,Cervidae,Hippocamelus,Hippocamelus bisulcus,Huemul,Nativa,En Peligro (EN)
17,1,Animalia,Chordata,Mammalia,Artiodactyla,Cervidae,Pudu,Pudu pudu,Pudú,Nativa,Vulnerable (VU)
157,1,Animalia,Chordata,Mammalia,Cetacea,Delphinidae,Cephalorhynchus,Cephalorhynchus commersoni,Commerson's dolphin,Nativa,En Peligro (EN)
158,1,Animalia,Chordata,Mammalia,Cetacea,Delphinidae,Cephalorhynchus,Cephalorhynchus eutropia,Delfín chileno,Nativa,"Casi amenazada (NT), Insuficientemente Conocida, Vulnerable (VU)"
